temp_max,temp_min,temp_avg,hum_max,hum_min,hum_avg,cur_time,serial,status,mac
24.5,23.8,23.94,65.7,64.8,65.44,2020-09-13T16:31:00.000Z,4090,22,00:a0:c6:00:00:00
23.8,23.8,23.8,65.8,65.7,65.78,2020-09-13T16:31:10.000Z,4090,23,00:a0:c6:00:00:00
23.8,23.8,23.8,65.9,65.8,65.86,2020-09-13T16:31:21.000Z,4090,23,00:a0:c6:00:00:00
23.8,23.8,23.8,66,65.9,65.98,2020-09-13T16:31:36.000Z,4090,23,00:a0:c6:00:00:00
24,23.8,23.86,66.1,66,66.04,2020-09-13T16:31:54.000Z,4090,33,00:a0:c6:00:00:00
24,24,24,66,65.9,65.98,2020-09-13T16:32:04.000Z,4090,33,00:a0:c6:00:00:00
24.1,24.1,24.1,65.9,65.7,65.82,2020-09-13T16:32:17.000Z,4090,33,00:a0:c6:00:00:00
24.2,24.1,24.16,65.7,65.5,65.58,2020-09-13T16:32:27.000Z,4090,33,00:a0:c6:00:00:00
24.3,24.2,24.26,65.4,65.1,65.26,2020-09-13T16:32:40.000Z,4090,33,00:a0:c6:00:00:00
24.5,24.3,24.42,65,64.7,64.84,2020-09-13T16:32:53.000Z,4090,33,00:a0:c6:00:00:00
24.6,24.5,24.56,64.6,64.2,64.4,2020-09-13T16:33:05.000Z,4090,33,00:a0:c6:00:00:00
24.7,24.6,24.66,64.1,63.8,63.98,2020-09-13T16:33:16.000Z,4090,33,00:a0:c6:00:00:00
24.8,24.7,24.76,63.7,63.1,63.4,2020-09-13T16:33:28.000Z,4090,33,00:a0:c6:00:00:00
25,24.9,24.94,63,62.5,62.72,2020-09-13T16:33:39.000Z,4090,33,00:a0:c6:00:00:00
25.1,25.1,25.1,62.3,61.8,62.04,2020-09-13T16:33:51.000Z,4090,33,00:a0:c6:00:00:00
25.3,25.1,25.2,61.7,61.4,61.52,2020-09-13T16:34:02.000Z,4090,33,00:a0:c6:00:00:00
25.4,25.3,25.36,61.3,60.9,61.1,2020-09-13T16:34:14.000Z,4090,33,00:a0:c6:00:00:00
25.5,25.4,25.48,60.8,60.4,60.6,2020-09-13T16:34:25.000Z,4090,33,00:a0:c6:00:00:00
25.6,25.5,25.58,60.3,59.9,60.1,2020-09-13T16:34:35.000Z,4090,33,00:a0:c6:00:00:00
25.8,25.6,25.72,59.8,59.4,59.64,2020-09-13T16:34:50.000Z,4090,33,00:a0:c6:00:00:00
26,25.9,25.94,59.3,59,59.14,2020-09-13T16:35:03.000Z,4090,33,00:a0:c6:00:00:00
26.2,26.1,26.16,58.8,58.4,58.6,2020-09-13T16:35:19.000Z,4090,33,00:a0:c6:00:00:00
26.4,26.3,26.34,58.1,57.9,57.98,2020-09-13T16:35:34.000Z,4090,33,00:a0:c6:00:00:00
26.5,26.4,26.48,57.8,57.5,57.66,2020-09-13T16:35:44.000Z,4090,33,00:a0:c6:00:00:00
26.7,26.5,26.6,57.5,57.2,57.32,2020-09-13T16:35:57.000Z,4090,33,00:a0:c6:00:00:00
26.8,26.7,26.76,57.1,56.8,56.9,2020-09-13T16:36:07.000Z,4090,33,00:a0:c6:00:00:00
26.9,26.8,26.84,56.7,56.4,56.54,2020-09-13T16:36:18.000Z,4090,33,00:a0:c6:00:00:00
27,26.9,26.96,56.4,56,56.18,2020-09-13T16:36:28.000Z,4090,33,00:a0:c6:00:00:00
27.1,27,27.08,56,55.7,55.82,2020-09-13T16:36:38.000Z,4090,23,00:a0:c6:00:00:00
27.1,27.1,27.1,55.6,55.2,55.38,2020-09-13T16:36:51.000Z,4090,23,00:a0:c6:00:00:00
27.2,27.1,27.16,55.2,54.8,55,2020-09-13T16:37:09.000Z,4090,23,00:a0:c6:00:00:00
27.2,27.2,27.2,54.7,54.5,54.62,2020-09-13T16:37:19.000Z,4090,13,00:a0:c6:00:00:00
27.2,27.1,27.16,54.4,54,54.2,2020-09-13T16:37:29.000Z,4090,13,00:a0:c6:00:00:00
27.1,27.1,27.1,54,53.9,53.92,2020-09-13T16:37:40.000Z,4090,13,00:a0:c6:00:00:00
27.1,27,27.02,53.9,53.8,53.82,2020-09-13T16:37:52.000Z,4090,13,00:a0:c6:00:00:00
26.9,26.8,26.88,53.9,53.8,53.88,2020-09-13T16:38:03.000Z,4090,13,00:a0:c6:00:00:00
26.8,26.6,26.72,54,53.9,53.98,2020-09-13T16:38:18.000Z,4090,13,00:a0:c6:00:00:00
26.6,26.5,26.54,54.4,54.1,54.24,2020-09-13T16:38:33.000Z,4090,13,00:a0:c6:00:00:00
26.5,26.4,26.42,54.6,54.4,54.52,2020-09-13T16:38:44.000Z,4090,13,00:a0:c6:00:00:00
26.4,26.2,26.3,54.8,54.6,54.68,2020-09-13T16:38:54.000Z,4090,13,00:a0:c6:00:00:00
26.3,26.2,26.22,55,54.8,54.88,2020-09-13T16:39:04.000Z,4090,13,00:a0:c6:00:00:00
26.1,26.1,26.1,55.1,54.9,55.04,2020-09-13T16:39:14.000Z,4090,13,00:a0:c6:00:00:00
26,26,26,55.3,55.2,55.26,2020-09-13T16:39:25.000Z,4090,13,00:a0:c6:00:00:00
26,25.9,25.92,55.5,55.4,55.42,2020-09-13T16:39:35.000Z,4090,13,00:a0:c6:00:00:00
25.8,25.8,25.8,55.6,55.5,55.58,2020-09-13T16:39:45.000Z,4090,13,00:a0:c6:00:00:00
25.8,25.6,25.7,55.9,55.8,55.84,2020-09-13T16:40:00.000Z,4090,13,00:a0:c6:00:00:00
25.6,25.5,25.58,56.1,56,56.06,2020-09-13T16:40:13.000Z,4090,13,00:a0:c6:00:00:00
25.5,25.4,25.44,56.3,56.2,56.26,2020-09-13T16:40:29.000Z,4090,13,00:a0:c6:00:00:00
25.4,25.3,25.32,56.7,56.4,56.54,2020-09-13T16:40:46.000Z,4090,13,00:a0:c6:00:00:00
25.2,25.1,25.18,56.9,56.7,56.78,2020-09-13T16:40:59.000Z,4090,13,00:a0:c6:00:00:00
25.1,25.1,25.1,57,56.9,56.92,2020-09-13T16:41:09.000Z,4090,13,00:a0:c6:00:00:00
25.1,25,25.04,57.2,57,57.1,2020-09-13T16:41:19.000Z,4090,13,00:a0:c6:00:00:00
25,24.9,24.92,57.5,57.3,57.4,2020-09-13T16:41:37.000Z,4090,13,00:a0:c6:00:00:00
24.9,24.8,24.86,57.7,57.5,57.6,2020-09-13T16:41:50.000Z,4090,13,00:a0:c6:00:00:00
24.8,24.7,24.76,57.9,57.8,57.84,2020-09-13T16:42:03.000Z,4090,13,00:a0:c6:00:00:00
24.7,24.7,24.7,58.1,57.9,58,2020-09-13T16:42:16.000Z,4090,13,00:a0:c6:00:00:00
24.6,24.6,24.6,58.2,58.1,58.14,2020-09-13T16:42:26.000Z,4090,13,00:a0:c6:00:00:00
24.6,24.5,24.56,58.3,58.2,58.28,2020-09-13T16:42:37.000Z,4090,13,00:a0:c6:00:00:00
24.5,24.5,24.5,58.5,58.4,58.42,2020-09-13T16:42:50.000Z,4090,13,00:a0:c6:00:00:00
24.5,24.4,24.42,58.6,58.5,58.56,2020-09-13T16:43:00.000Z,4090,23,00:a0:c6:00:00:00
30.3,30,30.1,42.7,42.5,42.54,2020-09-13T16:59:57.000Z,4090,22,00:a0:c6:00:00:00
30,29.9,29.94,42.6,42.6,42.6,2020-09-13T17:00:08.000Z,4090,13,00:a0:c6:00:00:00
29.9,29.8,29.88,43,42.7,42.78,2020-09-13T17:00:21.000Z,4090,13,00:a0:c6:00:00:00
29.8,29.7,29.76,45.7,43.8,44.7,2020-09-13T17:00:39.000Z,4090,13,00:a0:c6:00:00:00
29.7,29.6,29.62,47.6,45.9,46.72,2020-09-13T17:00:51.000Z,4090,13,00:a0:c6:00:00:00
29.6,29.5,29.54,48.6,47.7,48.12,2020-09-13T17:01:02.000Z,4090,13,00:a0:c6:00:00:00
29.5,29.4,29.44,49.4,48.8,49.12,2020-09-13T17:01:12.000Z,4090,13,00:a0:c6:00:00:00
29.4,29.3,29.32,49.8,49.4,49.56,2020-09-13T17:01:25.000Z,4090,13,00:a0:c6:00:00:00
29.3,29.2,29.24,50.5,49.7,49.94,2020-09-13T17:01:40.000Z,4090,13,00:a0:c6:00:00:00
29.1,29,29.06,51.8,50.6,51.5,2020-09-13T17:01:56.000Z,4090,13,00:a0:c6:00:00:00
29,28.9,28.94,51.7,51.4,51.52,2020-09-13T17:02:09.000Z,4090,13,00:a0:c6:00:00:00
28.9,28.8,28.84,51.6,51.4,51.54,2020-09-13T17:02:19.000Z,4090,13,00:a0:c6:00:00:00
28.8,28.7,28.74,51.7,51.6,51.64,2020-09-13T17:02:32.000Z,4090,13,00:a0:c6:00:00:00
28.7,28.6,28.62,52.5,52,52.28,2020-09-13T17:02:48.000Z,4090,13,00:a0:c6:00:00:00
28.5,28.4,28.48,53.1,52.6,52.88,2020-09-13T17:03:03.000Z,4090,13,00:a0:c6:00:00:00
28.4,28.4,28.4,53.4,53,53.18,2020-09-13T17:03:13.000Z,4090,13,00:a0:c6:00:00:00
28.3,28.3,28.3,54.2,53,53.7,2020-09-13T17:03:23.000Z,4090,13,00:a0:c6:00:00:00
28.2,28.2,28.2,55,54.7,54.86,2020-09-13T17:03:36.000Z,4090,13,00:a0:c6:00:00:00
28.1,28.1,28.1,54.6,54.2,54.36,2020-09-13T17:03:49.000Z,4090,13,00:a0:c6:00:00:00
28,28,28,56,54.6,55.12,2020-09-13T17:04:02.000Z,4090,13,00:a0:c6:00:00:00
28,27.9,27.92,57.8,56.4,57.26,2020-09-13T17:04:15.000Z,4090,13,00:a0:c6:00:00:00
27.9,27.8,27.82,58,57.5,57.74,2020-09-13T17:04:25.000Z,4090,13,00:a0:c6:00:00:00
27.8,27.7,27.72,58.2,57.4,57.8,2020-09-13T17:04:38.000Z,4090,13,00:a0:c6:00:00:00
27.7,27.6,27.62,58.5,57.2,57.96,2020-09-13T17:04:51.000Z,4090,13,00:a0:c6:00:00:00
27.6,27.5,27.54,58.5,57.5,58.02,2020-09-13T17:05:01.000Z,4090,13,00:a0:c6:00:00:00
27.5,27.4,27.42,58.4,57.6,58.04,2020-09-13T17:05:14.000Z,4090,13,00:a0:c6:00:00:00
27.4,27.3,27.34,58.6,58.2,58.38,2020-09-13T17:05:32.000Z,4090,13,00:a0:c6:00:00:00
27.3,27.2,27.22,58.7,58.1,58.34,2020-09-13T17:05:43.000Z,4090,13,00:a0:c6:00:00:00
27.2,27.1,27.16,58.9,58.5,58.72,2020-09-13T17:05:56.000Z,4090,13,00:a0:c6:00:00:00
27.1,27.1,27.1,59,58.5,58.72,2020-09-13T17:06:06.000Z,4090,13,00:a0:c6:00:00:00
27.1,26.9,27,58.5,58,58.28,2020-09-13T17:06:16.000Z,4090,13,00:a0:c6:00:00:00
27,26.9,26.92,58.1,57.6,57.82,2020-09-13T17:06:26.000Z,4090,13,00:a0:c6:00:00:00
26.9,26.8,26.88,57.6,57.5,57.58,2020-09-13T17:06:37.000Z,4090,13,00:a0:c6:00:00:00
26.8,26.8,26.8,58,57.5,57.7,2020-09-13T17:06:49.000Z,4090,13,00:a0:c6:00:00:00
26.8,26.7,26.72,59.4,58.2,58.96,2020-09-13T17:07:00.000Z,4090,13,00:a0:c6:00:00:00
26.7,26.6,26.66,59.6,59.2,59.34,2020-09-13T17:07:10.000Z,4090,13,00:a0:c6:00:00:00
26.6,26.6,26.6,60,59.3,59.82,2020-09-13T17:07:23.000Z,4090,13,00:a0:c6:00:00:00
26.5,26.5,26.5,59.9,59.2,59.56,2020-09-13T17:07:33.000Z,4090,13,00:a0:c6:00:00:00
26.5,26.4,26.46,59.3,58.8,59.1,2020-09-13T17:07:46.000Z,4090,13,00:a0:c6:00:00:00
26.4,26.3,26.36,59.9,59.6,59.7,2020-09-13T17:08:01.000Z,4090,13,00:a0:c6:00:00:00
26.3,26.2,26.28,60,59.5,59.86,2020-09-13T17:08:14.000Z,4090,13,00:a0:c6:00:00:00
26.2,26.2,26.2,63.1,61,62.28,2020-09-13T17:08:24.000Z,4090,13,00:a0:c6:00:00:00
26.2,26.1,26.16,64,63.4,63.7,2020-09-13T17:08:35.000Z,4090,13,00:a0:c6:00:00:00
26.1,26.1,26.1,63.6,62.9,63.18,2020-09-13T17:08:45.000Z,4090,13,00:a0:c6:00:00:00
26.1,26,26.04,65,63,64.1,2020-09-13T17:08:55.000Z,4090,13,00:a0:c6:00:00:00
26,26,26,67.6,65.5,66.26,2020-09-13T17:09:05.000Z,4090,13,00:a0:c6:00:00:00
26,25.9,25.98,69.2,68.7,68.94,2020-09-13T17:09:15.000Z,4090,13,00:a0:c6:00:00:00
26,25.9,25.92,70.5,69.4,69.74,2020-09-13T17:09:26.000Z,4090,13,00:a0:c6:00:00:00
25.9,25.8,25.84,74.6,71.4,73.16,2020-09-13T17:09:41.000Z,4090,13,00:a0:c6:00:00:00
25.8,25.8,25.8,77.1,75.6,76.5,2020-09-13T17:09:52.000Z,4090,12,00:a0:c6:00:00:00
25.8,25.7,25.78,79.4,77.4,78.4,2020-09-13T17:10:02.000Z,4090,12,00:a0:c6:00:00:00
25.7,25.7,25.7,80.1,79,79.64,2020-09-13T17:10:12.000Z,4090,12,00:a0:c6:00:00:00
25.7,25.6,25.68,78.7,76.9,77.96,2020-09-13T17:10:22.000Z,4090,12,00:a0:c6:00:00:00
25.6,25.6,25.6,76.5,75.2,75.68,2020-09-13T17:10:33.000Z,4090,12,00:a0:c6:00:00:00
25.6,25.6,25.6,75,71.2,72.86,2020-09-13T17:10:48.000Z,4090,13,00:a0:c6:00:00:00
25.6,25.5,25.52,70.6,68.7,69.44,2020-09-13T17:10:58.000Z,4090,13,00:a0:c6:00:00:00
25.5,25.5,25.5,68.4,67.6,67.98,2020-09-13T17:11:11.000Z,4090,13,00:a0:c6:00:00:00
25.5,25.4,25.48,69.7,67.7,68.76,2020-09-13T17:11:26.000Z,4090,21,00:a0:c6:00:00:00
25.6,25.5,25.56,71,70.7,70.86,2020-09-13T17:11:44.000Z,4090,11,00:a0:c6:00:00:00
25.6,25.6,25.6,70.7,70.2,70.4,2020-09-13T17:11:54.000Z,4090,11,00:a0:c6:00:00:00
25.6,25.6,25.6,70,68.9,69.54,2020-09-13T17:12:10.000Z,4090,11,00:a0:c6:00:00:00
