time,temp_avg_gap,hum_avg_gap,temp_max_min,temp_min_max,hum_max_min,hum_min_max,status,work
11,0.1,-0.36,0.2,0.0,-0.1,-0.6,32,1
13,0.16,-0.4,0.3,0.0,-0.1,-0.6,32,1
16,0.16,-0.44,0.4,0.0,-0.2,-0.8,32,1
11,0.1,-0.42,0.2,0.0,-0.1,-0.7,32,1
10,0.12,-0.3,0.2,0.1,0.0,-0.6,32,1
11,0.12,-0.34,0.2,0.0,0.0,-0.6,32,1
14,0.0,-0.2,0.0,0.0,0.1,-0.4,23,1
10,0.0,1.06,0.0,0.0,1.5,0.3,23,1
13,0.0,1.66,0.0,0.0,3.3,0.1,23,1
12,0.0,1.96,0.0,0.0,3.5,0.3,23,1
11,0.0,1.38,0.0,0.0,2.4,0.4,23,1
11,-0.04,0.54,0.0,-0.1,1.2,0.0,23,1
12,-0.06,0.46,0.0,-0.1,0.8,0.1,23,1
10,0.0,0.58,0.0,0.0,1.2,0.0,23,1
13,-0.06,0.8,0.0,-0.1,2.0,0.0,23,1
10,-0.06,-5.04,0.0,-0.1,-1.1,-7.2,12,1
11,-0.12,-2.44,0.0,-0.2,-0.5,-4.7,12,1
13,-0.16,-1.16,-0.1,-0.3,-0.3,-2.3,12,1
13,-0.14,-0.36,0.0,-0.3,0.0,-0.7,12,1
11,-0.14,0.38,0.0,-0.3,0.6,0.1,12,1
11,-0.14,0.6,0.0,-0.2,1.1,0.1,12,1
11,-0.08,0.72,0.0,-0.2,1.3,0.1,12,1
11,-0.08,0.86,0.0,-0.2,1.5,0.2,12,1
13,-0.08,1.76,0.0,-0.2,2.6,0.3,13,1
14,-0.12,1.46,0.0,-0.2,3.0,0.1,13,1
11,-0.12,1.12,-0.1,-0.2,2.2,0.2,13,1
15,-0.06,1.12,0.0,-0.2,2.3,0.3,13,1
13,-0.14,1.34,0.0,-0.2,2.3,0.1,13,1
14,-0.04,0.42,0.0,-0.2,1.2,-0.2,12,1
13,0.04,0.02,0.1,0.0,0.1,0.0,21,1
12,0.02,0.64,0.1,0.0,1.0,0.2,11,1
10,0.08,0.32,0.1,0.0,0.6,0.1,11,1
11,0.08,0.26,0.1,0.0,0.4,0.1,11,1
11,0.02,0.28,0.1,0.0,0.5,0.0,11,1
10,0.04,0.22,0.1,0.0,0.5,0.0,11,1
14,0.06,0.3,0.1,0.0,0.5,0.1,11,1
24,0.06,0.48,0.1,0.0,0.9,0.1,11,1
13,-0.02,-0.02,0.0,-0.1,0.1,-0.1,13,0
10,0.04,0.02,0.2,0.0,0.1,0.0,33,0
10,0.08,0.0,0.1,0.0,0.0,0.0,33,0
13,0.06,-0.08,0.1,0.0,0.0,-0.1,33,0
19,0.1,-0.08,0.2,0.0,0.0,-0.2,33,0
12,0.14,-0.16,0.2,0.1,0.0,-0.3,33,0
11,0.1,-0.18,0.1,0.1,0.0,-0.4,33,0
10,0.12,-0.2,0.2,0.1,0.0,-0.4,33,0
11,0.1,-0.22,0.2,0.0,0.0,-0.4,33,0
10,0.08,-0.24,0.1,0.0,0.0,-0.5,33,0
11,0.08,-0.26,0.1,0.0,0.0,-0.5,33,0
16,0.2,-0.4,0.3,0.1,-0.2,-0.6,33,0
10,0.1,-0.3,0.2,0.0,-0.1,-0.5,33,0
10,0.12,-0.28,0.2,0.1,-0.1,-0.5,33,0
13,0.14,-0.3,0.2,0.1,0.0,-0.6,33,0
13,0.14,-0.42,0.2,0.0,-0.1,-0.8,33,0
13,0.14,-0.38,0.3,0.1,-0.1,-0.6,33,0
11,0.08,-0.32,0.1,0.0,-0.1,-0.5,33,0
10,0.12,-0.22,0.2,0.1,0.0,-0.4,33,0
10,0.08,-0.32,0.1,0.0,-0.1,-0.6,33,0
16,0.12,-0.34,0.2,0.1,0.0,-0.7,33,0
10,0.16,-0.34,0.2,0.0,0.0,-0.7,33,0
13,0.08,-0.36,0.2,0.0,0.0,-0.7,33,0
11,0.12,-0.38,0.2,0.0,-0.1,-0.7,33,0
13,0.02,-0.34,0.1,0.0,-0.2,-0.5,23,0
16,0.0,-0.28,0.0,0.0,0.0,-0.5,23,0
13,0.0,-0.28,0.0,0.0,-0.1,-0.5,23,0
10,0.0,-0.18,0.0,0.0,-0.1,-0.3,23,0
16,0.0,-0.18,0.0,0.0,0.0,-0.3,23,0
12,0.0,-0.16,0.0,0.0,0.0,-0.3,23,0
11,-0.02,-0.1,0.0,-0.1,0.0,-0.2,23,0
10,-0.06,-0.08,0.1,-0.1,0.0,-0.2,23,0
11,0.0,-0.02,0.1,-0.1,0.1,-0.1,23,0
15,-0.04,-0.04,0.0,-0.2,0.0,-0.2,23,0
13,-0.08,-0.08,0.0,-0.1,0.0,-0.1,23,0
11,0.0,0.0,0.0,0.0,0.0,0.0,23,0
10,-0.08,-0.02,0.0,-0.1,0.0,-0.1,23,0
11,-0.02,0.02,0.0,-0.1,0.1,0.0,23,0
13,-0.04,0.02,0.0,-0.1,0.1,0.0,23,0
10,-0.04,0.04,0.1,-0.1,0.1,-0.1,23,0
13,-0.04,0.02,0.0,-0.2,0.1,-0.1,23,0
11,-0.08,0.02,0.0,-0.1,0.1,0.0,23,0
10,-0.04,0.06,0.0,-0.1,0.1,0.0,23,0
11,-0.06,0.02,0.0,-0.1,0.1,-0.1,23,0
10,0.0,0.08,0.0,0.0,0.2,0.0,23,0
13,-0.1,0.0,-0.1,-0.1,0.1,-0.1,23,0
11,-0.02,0.1,0.0,-0.1,0.2,0.0,23,0
13,-0.06,0.06,0.1,-0.1,0.2,0.0,23,0
13,-0.04,0.08,0.0,-0.2,0.1,0.0,23,0
10,-0.04,0.0,0.0,-0.1,0.0,0.0,13,0
11,-0.12,0.12,0.0,-0.2,0.2,0.1,13,0
10,-0.1,0.18,0.0,-0.2,0.3,0.0,13,0
11,-0.12,0.18,0.0,-0.2,0.4,0.0,13,0
10,-0.1,0.26,0.0,-0.2,0.5,0.0,13,0
10,-0.12,0.28,-0.1,-0.2,0.5,0.0,13,0
13,-0.12,0.32,-0.1,-0.2,0.6,0.1,13,0
11,-0.1,0.3,0.0,-0.2,0.5,0.0,13,0
18,-0.16,0.46,0.0,-0.2,0.8,0.2,13,0
10,-0.1,0.3,0.0,-0.2,0.6,0.0,13,0
13,-0.12,0.3,0.0,-0.3,0.5,0.1,13,0
13,-0.12,0.32,0.0,-0.3,0.5,0.0,13,0
13,-0.08,0.34,0.0,-0.1,0.7,0.1,13,0
11,-0.1,0.26,-0.1,-0.1,0.5,0.0,13,0
13,-0.08,0.28,0.0,-0.1,0.5,0.1,13,0
15,-0.08,0.3,0.0,-0.2,0.5,0.0,13,0
14,-0.12,0.28,0.0,-0.2,0.6,0.1,13,0
10,-0.1,0.26,0.0,-0.2,0.4,0.1,13,0
13,-0.08,0.24,0.0,-0.2,0.3,0.1,13,0
11,-0.04,0.22,0.0,-0.1,0.4,0.1,13,0
13,-0.08,0.18,0.0,-0.1,0.4,0.0,13,0
10,-0.04,0.24,0.0,-0.2,0.4,0.0,13,0
13,-0.08,0.18,0.0,-0.1,0.4,0.0,13,0
13,0.0,1.34,0.0,0.0,2.8,0.0,33,0
10,0.0,2.84,0.0,0.0,4.6,0.4,33,0
13,0.0,2.56,0.0,0.0,4.5,1.0,33,0
10,0.02,1.88,0.1,-0.1,3.9,0.2,32,0
10,0.0,-0.94,0.1,-0.1,-0.3,-1.3,32,0
11,0.0,-0.8,0.1,-0.1,0.0,-1.7,32,0
11,0.0,-1.22,0.1,-0.1,-0.2,-2.1,32,0
18,0.02,-1.7,0.1,-0.1,-0.9,-2.6,32,0
10,0.02,-0.8,0.1,-0.1,-0.1,-1.6,32,0
16,-0.04,-0.88,0.1,-0.1,-0.1,-1.7,32,0
10,0.0,-0.98,0.1,-0.1,-0.2,-1.8,32,0
13,0.0,-0.74,0.1,-0.1,-0.1,-1.4,32,0
11,0.06,-0.56,0.1,0.0,-0.1,-1.0,32,0
11,0.0,-0.42,0.0,0.0,-0.1,-0.6,32,0
11,0.0,-0.18,0.0,0.0,0.2,-0.5,33,0
18,0.0,2.32,0.0,0.0,3.9,0.2,33,0
13,0.0,3.16,0.0,0.0,5.3,0.6,32,0
18,0.02,-1.94,0.1,0.0,-0.7,-2.8,31,0
18,-0.02,-1.84,0.0,-0.1,-0.5,-3.4,31,0
16,0.0,-1.34,0.0,0.0,-0.4,-2.3,31,0
10,0.0,-0.94,0.0,0.0,-0.1,-1.8,31,0
11,0.02,-0.86,0.1,0.0,-0.2,-1.6,31,0
10,-0.02,-0.66,0.0,-0.1,-0.2,-1.0,31,0
13,0.0,-0.4,0.0,0.0,-0.1,-0.9,31,0
13,0.0,-0.92,0.0,0.0,-0.2,-1.3,31,0
13,0.0,-0.26,0.0,0.0,0.0,-0.8,31,0
16,0.0,-0.52,0.0,0.0,-0.4,-0.6,31,0
18,0.0,-0.36,0.0,0.0,-0.3,-0.5,31,0
10,0.0,-0.26,0.0,0.0,0.0,-0.4,31,0
13,0.02,-0.22,0.1,0.0,0.0,-0.5,31,0
13,-0.02,-0.34,0.0,-0.1,-0.1,-0.6,31,0
13,0.0,-0.24,0.0,0.0,-0.1,-0.4,31,0
11,0.0,-0.16,0.0,0.0,0.0,-0.2,31,0
15,0.02,-0.04,0.1,0.0,0.0,-0.2,31,0
16,-0.02,-0.1,0.0,-0.1,0.0,-0.2,31,0
10,0.0,-0.16,0.0,0.0,0.0,-0.2,31,0
10,0.0,-0.02,0.0,0.0,0.0,-0.1,31,0
11,0.02,-0.06,0.1,0.0,0.0,-0.1,31,0
11,0.02,-1.34,0.1,0.0,-0.3,-2.5,21,0
13,-0.02,-1.5,0.0,-0.1,-0.2,-2.5,21,0
13,0.0,-0.94,0.0,0.0,-0.1,-1.8,21,0
15,0.06,-1.26,0.1,0.0,-0.3,-2.4,21,0
13,-0.02,-1.0,0.1,-0.1,-0.1,-2.0,21,0
10,-0.02,-0.72,0.1,-0.1,-0.2,-1.2,21,0
13,0.02,-0.3,0.1,-0.1,0.1,-0.7,21,0
13,-0.04,-0.56,0.0,-0.1,-0.1,-1.0,21,0
16,0.0,-0.44,0.0,0.0,0.0,-0.8,21,0
13,0.0,-0.34,0.0,0.0,-0.1,-0.6,21,0
11,0.02,-0.08,0.1,0.0,0.0,-0.2,21,0
15,-0.02,-0.2,0.0,-0.1,0.0,-0.3,21,0
13,0.0,-0.14,0.0,0.0,0.0,-0.3,21,0
10,0.0,-0.14,0.0,0.0,-0.1,-0.3,21,0
10,0.0,-0.08,0.0,0.0,0.0,-0.1,21,0
11,0.0,0.0,0.0,0.0,0.0,0.0,21,0
13,0.0,0.08,0.0,0.0,0.1,0.0,21,0
13,0.0,0.14,0.0,0.0,0.3,0.0,21,0
13,0.0,0.12,0.0,0.0,0.3,0.0,21,0
10,0.0,0.14,0.0,0.0,0.2,0.0,21,0
11,0.0,0.28,0.0,0.0,0.4,0.1,21,0
10,0.0,0.32,0.0,0.0,0.6,0.1,21,0
16,0.0,0.46,0.0,0.0,0.9,0.0,21,0
10,0.0,0.44,0.0,0.0,0.9,0.1,21,0
10,0.06,0.36,0.1,0.0,0.8,0.1,21,0
11,0.02,0.36,0.1,-0.1,0.6,-0.1,21,0
10,0.0,0.16,0.1,-0.1,0.3,0.0,21,0
13,0.0,0.38,0.1,-0.1,0.7,0.0,21,0
11,0.02,0.62,0.1,0.0,1.1,0.1,21,0
10,0.0,0.14,0.0,0.0,0.4,0.0,21,0
15,0.02,0.54,0.1,0.0,0.7,0.2,21,0
19,0.0,0.76,0.1,-0.1,1.3,0.2,21,0
10,0.06,0.5,0.1,-0.1,1.0,0.1,21,0
11,0.0,0.22,0.1,-0.1,0.5,-0.1,21,0
10,0.02,0.18,0.1,0.0,0.5,0.0,21,0
13,0.0,0.16,0.0,0.0,0.3,0.0,21,0
10,0.0,0.28,0.0,0.0,0.6,0.1,21,0
13,-0.02,-0.12,0.0,-0.1,0.0,-0.2,12,0
13,-0.02,0.16,0.0,-0.1,0.7,-0.2,13,0
12,0.0,1.78,0.0,0.0,2.8,0.5,13,0
11,-0.08,1.56,0.0,-0.1,2.8,0.3,13,0
13,-0.04,2.4,0.0,-0.2,4.0,0.4,13,0
13,-0.04,1.84,0.1,-0.1,3.8,0.3,13,0
13,-0.06,1.08,0.0,-0.2,2.0,0.2,13,0
13,-0.08,2.6,0.0,-0.1,4.7,0.6,13,0
13,-0.04,2.44,0.0,-0.1,4.3,0.3,13,0
13,-0.06,0.48,0.0,-0.1,1.7,-0.5,13,0
10,-0.06,-0.76,0.0,-0.1,0.7,-2.1,12,0
18,-0.06,-1.18,0.0,-0.1,0.2,-2.6,12,0
13,-0.04,-2.16,0.0,-0.1,-0.7,-3.2,12,0
13,-0.02,-2.04,0.0,-0.1,-0.3,-3.3,13,0
10,-0.04,-0.36,0.0,-0.1,0.3,-1.6,13,0
13,-0.06,1.74,0.0,-0.1,2.3,1.2,13,0
13,-0.08,0.84,0.0,-0.1,1.6,0.1,13,0
11,-0.04,1.12,0.0,-0.2,2.3,-0.2,13,0
10,-0.08,0.42,0.0,-0.1,1.5,-0.7,13,0
16,-0.02,1.16,0.0,-0.1,1.9,0.6,13,0
10,-0.08,2.42,0.0,-0.1,3.2,1.0,13,0
11,-0.04,0.22,0.0,-0.1,1.6,-0.4,13,0
10,-0.06,-1.0,0.0,-0.1,-0.5,-1.7,13,0
16,-0.04,0.56,0.0,-0.1,2.2,-0.5,12,0
10,-0.1,-0.02,-0.1,-0.1,1.0,-0.8,12,0
13,0.0,-0.86,0.0,0.0,-0.2,-1.7,12,0
13,-0.1,-1.38,-0.1,-0.1,-0.4,-2.4,12,0
11,-0.02,-1.58,0.0,-0.1,-0.3,-3.0,12,0
10,-0.08,-2.3,0.0,-0.1,-0.5,-3.8,12,0
10,0.0,-1.3,0.0,0.0,-0.2,-2.6,12,0
13,0.0,-1.06,0.0,0.0,-0.5,-1.8,11,0
11,0.04,-0.44,0.1,0.0,-0.1,-0.8,11,0
14,0.06,-0.6,0.1,0.0,-0.3,-0.9,11,0
10,0.06,-0.5,0.1,0.0,-0.1,-0.8,11,0
10,0.04,-0.54,0.1,0.0,-0.1,-1.0,11,0
11,0.08,-0.5,0.1,0.0,-0.1,-1.0,11,0
10,0.02,-0.58,0.1,0.0,-0.1,-0.9,11,0
16,0.1,-0.48,0.2,0.0,-0.1,-0.9,11,0
13,0.1,-0.44,0.3,-0.1,-0.2,-0.8,11,0
10,0.1,-0.3,0.2,0.0,0.0,-0.5,11,0
13,0.08,-0.46,0.1,0.0,-0.1,-0.8,11,0
10,0.04,-0.34,0.1,0.0,-0.1,-0.6,12,0
10,0.1,-0.28,0.2,0.0,-0.1,-0.5,11,0
13,0.08,-0.3,0.1,0.0,0.0,-0.5,11,0
11,0.08,-0.28,0.1,0.0,-0.1,-0.6,11,0
10,0.1,-0.24,0.2,0.0,-0.1,-0.4,11,0
11,0.06,-0.3,0.2,0.0,-0.1,-0.4,11,0
10,0.06,-0.24,0.1,0.0,-0.1,-0.5,11,0
18,0.14,-0.3,0.2,0.0,0.0,-0.5,11,0
11,0.08,-0.32,0.3,0.0,-0.1,-0.6,11,0
10,0.1,-0.22,0.2,0.0,0.0,-0.4,11,0
11,0.08,-0.24,0.1,0.0,0.0,-0.5,11,0
12,0.08,-0.24,0.1,0.0,0.0,-0.5,11,0
11,0.1,-0.24,0.2,0.0,-0.1,-0.4,11,0
10,0.04,-0.22,0.2,0.0,-0.1,-0.3,11,0
11,0.08,-0.2,0.1,0.0,0.0,-0.4,11,0
10,0.08,-0.22,0.1,0.0,0.0,-0.5,11,0
10,0.1,-0.16,0.2,0.0,0.0,-0.3,11,0
11,0.06,-0.22,0.2,0.0,-0.1,-0.3,11,0
11,0.06,-0.2,0.1,0.0,0.0,-0.4,11,0
10,0.08,-0.22,0.1,0.0,0.0,-0.5,11,0
10,0.06,-0.22,0.2,0.0,0.0,-0.4,11,0
10,0.06,-0.2,0.1,0.0,0.0,-0.4,11,0
